Train_No,Start_Station_Code,Start_Station_Name,End_Station_Code,End_Station_Name,Total_Stops,Total_Distance_km
97419,CSMT,CST-MUMBAI,TNA,THANE,17,33
97420,TNA,THANE,DR,DADAR,10,24
97421,CSMT,CST-MUMBAI,TNA,THANE,17,33
97422,TNA,THANE,CSMT,CST-MUMBAI,17,33
97423,CSMT,CST-MUMBAI,TNA,THANE,17,33
97424,TNA,THANE,DR,DADAR,10,24
97425,CSMT,CST-MUMBAI,TNA,THANE,17,33
97426,TNA,THANE,CSMT,CST-MUMBAI,17,33
97427,CSMT,CST-MUMBAI,TNA,THANE,17,33
97428,TNA,THANE,CSMT,CST-MUMBAI,17,33
97429,DR,DADAR,TNA,THANE,10,24
97430,TNA,THANE,DR,DADAR,10,24
97431,CSMT,CST-MUMBAI,TNA,THANE,17,33
97432,TNA,THANE,CSMT,CST-MUMBAI,17,33
97433,CSMT,CST-MUMBAI,TNA,THANE,17,33
97434,TNA,THANE,CSMT,CST-MUMBAI,17,33
97435,CSMT,CST-MUMBAI,TNA,THANE,17,33
97436,TNA,THANE,CSMT,CST-MUMBAI,17,33
97437,CSMT,CST-MUMBAI,TNA,THANE,17,33
97438,TNA,THANE,CSMT,CST-MUMBAI,17,33
97439,CSMT,CST-MUMBAI,TNA,THANE,17,33
97440,TNA,THANE,CSMT,CST-MUMBAI,17,33
97441,CSMT,CST-MUMBAI,TNA,THANE,17,33
97442,TNA,THANE,DR,DADAR,10,24
97444,TNA,THANE,CSMT,CST-MUMBAI,16,33
97445,CSMT,CST-MUMBAI,TNA,THANE,16,33
97446,TNA,THANE,CSMT,CST-MUMBAI,16,33
97501,CSMT,CST-MUMBAI,GC,GHAT KOPAR,12,19
97502,GC,GHAT KOPAR,CSMT,CST-MUMBAI,12,19
97503,CSMT,CST-MUMBAI,GC,GHAT KOPAR,12,19
97504,GC,GHAT KOPAR,CSMT,CST-MUMBAI,12,19
97601,CSMT,CST-MUMBAI,CLA,KURLA,10,15
97602,CLA,KURLA,CSMT,CST-MUMBAI,10,15
97603,CSMT,CST-MUMBAI,CLA,KURLA,10,15
97604,CLA,KURLA,CSMT,CST-MUMBAI,10,15
97605,CSMT,CST-MUMBAI,CLA,KURLA,10,15
97606,CLA,KURLA,CSMT,CST-MUMBAI,10,15
97607,CSMT,CST-MUMBAI,CLA,KURLA,10,15
97608,CLA,KURLA,CSMT,CST-MUMBAI,10,15
97609,CSMT,CST-MUMBAI,CLA,KURLA,10,15
97610,CLA,KURLA,CSMT,CST-MUMBAI,10,15
97611,CSMT,CST-MUMBAI,CLA,KURLA,10,15
97612,CLA,KURLA,CSMT,CST-MUMBAI,10,15
97613,CSMT,CST-MUMBAI,CLA,KURLA,10,15
97614,CLA,KURLA,CSMT,CST-MUMBAI,10,15
97615,CSMT,CST-MUMBAI,CLA,KURLA,10,15
97616,CLA,KURLA,CSMT,CST-MUMBAI,10,15
97617,CSMT,CST-MUMBAI,CLA,KURLA,10,15
97618,CLA,KURLA,CSMT,CST-MUMBAI,10,15
97619,CSMT,CST-MUMBAI,CLA,KURLA,10,15
97620,CLA,KURLA,CSMT,CST-MUMBAI,10,15
97621,CSMT,CST-MUMBAI,CLA,KURLA,10,15
97622,CLA,KURLA,CSMT,CST-MUMBAI,10,15
97623,CSMT,CST-MUMBAI,CLA,KURLA,10,15
97624,CLA,KURLA,CSMT,CST-MUMBAI,10,15
97625,CSMT,CST-MUMBAI,CLA,KURLA,10,15
97626,CLA,KURLA,CSMT,CST-MUMBAI,10,15
97627,CSMT,CST-MUMBAI,CLA,KURLA,10,15
97628,CLA,KURLA,CSMT,CST-MUMBAI,10,15
97629,CSMT,CST-MUMBAI,CLA,KURLA,10,15
97630,CLA,KURLA,CSMT,CST-MUMBAI,10,15
97631,CSMT,CST-MUMBAI,CLA,KURLA,10,15
97632,CLA,KURLA,CSMT,CST-MUMBAI,10,15
97633,CSMT,CST-MUMBAI,CLA,KURLA,10,15
97634,CLA,KURLA,CSMT,CST-MUMBAI,10,15
97635,CSMT,CST-MUMBAI,CLA,KURLA,10,15
97636,CLA,KURLA,CSMT,CST-MUMBAI,10,15
97637,CSMT,CST-MUMBAI,CLA,KURLA,10,15
97638,CLA,KURLA,CSMT,CST-MUMBAI,10,15
97639,CSMT,CST-MUMBAI,CLA,KURLA,10,15
97640,CLA,KURLA,CSMT,CST-MUMBAI,10,15
97641,CSMT,CST-MUMBAI,CLA,KURLA,10,15
97642,CLA,KURLA,CSMT,CST-MUMBAI,10,15
97643,CSMT,CST-MUMBAI,CLA,KURLA,10,15
97644,CLA,KURLA,CSMT,CST-MUMBAI,10,15
97645,CSMT,CST-MUMBAI,CLA,KURLA,10,15
97646,CLA,KURLA,CSMT,CST-MUMBAI,10,15
97647,CSMT,CST-MUMBAI,CLA,KURLA,10,15
97648,CLA,KURLA,CSMT,CST-MUMBAI,10,15
97649,CSMT,CST-MUMBAI,CLA,KURLA,10,15
97651,CSMT,CST-MUMBAI,CLA,KURLA,10,15
97653,CSMT,CST-MUMBAI,CLA,KURLA,10,15
97655,CSMT,CST-MUMBAI,CLA,KURLA,10,15
98000,PNVL,PANVEL,CSMT,CST-MUMBAI,2,49
98001,CSMT,CST-MUMBAI,PNVL,PANVEL,2,49
98002,PNVL,PANVEL,CSMT,CST-MUMBAI,2,49
98003,CSMT,CST-MUMBAI,PNVL,PANVEL,2,49
98004,PNVL,PANVEL,CSMT,CST-MUMBAI,2,49
98005,CSMT,CST-MUMBAI,PNVL,PANVEL,2,49
98006,PNVL,PANVEL,CSMT,CST-MUMBAI,2,49
98007,CSMT,CST-MUMBAI,PNVL,PANVEL,2,49
98008,PNVL,PANVEL,CSMT,CST-MUMBAI,2,49
98009,CSMT,CST-MUMBAI,PNVL,PANVEL,2,49
98010,PNVL,PANVEL,CSMT,CST-MUMBAI,2,49
98011,CSMT,CST-MUMBAI,PNVL,PANVEL,2,49
98012,PNVL,PANVEL,CSMT,CST-MUMBAI,2,49
98013,VSH,VASHI,PNVL,PANVEL,2,20
98014,PNVL,PANVEL,CSMT,CST-MUMBAI,2,49
98015,CSMT,CST-MUMBAI,PNVL,PANVEL,2,49
98016,PNVL,PANVEL,CSMT,CST-MUMBAI,2,49
98017,CSMT,CST-MUMBAI,PNVL,PANVEL,2,49
98018,PNVL,PANVEL,VDLR,MUMBAI VADAL,2,39
98019,CSMT,CST-MUMBAI,PNVL,PANVEL,2,49
98020,PNVL,PANVEL,CSMT,CST-MUMBAI,2,49
98021,VSH,VASHI,PNVL,PANVEL,2,20
98022,PNVL,PANVEL,CSMT,CST-MUMBAI,2,49
98023,CSMT,CST-MUMBAI,PNVL,PANVEL,2,49
98024,PNVL,PANVEL,CSMT,CST-MUMBAI,2,49
98025,CSMT,CST-MUMBAI,PNVL,PANVEL,2,49
98026,PNVL,PANVEL,VDLR,MUMBAI VADAL,2,39
98027,CSMT,CST-MUMBAI,PNVL,PANVEL,2,49
98028,PNVL,PANVEL,CSMT,CST-MUMBAI,2,49
98029,CSMT,CST-MUMBAI,PNVL,PANVEL,2,49
98030,PNVL,PANVEL,CSMT,CST-MUMBAI,2,49
98031,VDLR,MUMBAI VADAL,PNVL,PANVEL,2,39
98032,PNVL,PANVEL,VDLR,MUMBAI VADAL,2,39
98033,CSMT,CST-MUMBAI,PNVL,PANVEL,2,49
98034,PNVL,PANVEL,CSMT,CST-MUMBAI,2,49
98035,CSMT,CST-MUMBAI,PNVL,PANVEL,2,49
98036,PNVL,PANVEL,CSMT,CST-MUMBAI,2,49
98037,CSMT,CST-MUMBAI,PNVL,PANVEL,2,49
98038,PNVL,PANVEL,CSMT,CST-MUMBAI,2,49
98039,CSMT,CST-MUMBAI,PNVL,PANVEL,2,49
98040,PNVL,PANVEL,VDLR,MUMBAI VADAL,2,39
98041,CSMT,CST-MUMBAI,PNVL,PANVEL,2,49
98042,PNVL,PANVEL,CSMT,CST-MUMBAI,2,49
98043,CSMT,CST-MUMBAI,PNVL,PANVEL,2,49
98044,PNVL,PANVEL,CSMT,CST-MUMBAI,2,49
98045,CSMT,CST-MUMBAI,PNVL,PANVEL,2,49
98046,PNVL,PANVEL,CSMT,CST-MUMBAI,2,49
98047,CSMT,CST-MUMBAI,PNVL,PANVEL,2,49
98048,PNVL,PANVEL,CSMT,CST-MUMBAI,2,49
98049,CSMT,CST-MUMBAI,PNVL,PANVEL,2,49
98050,PNVL,PANVEL,CSMT,CST-MUMBAI,2,49
98051,VDLR,MUMBAI VADAL,PNVL,PANVEL,2,39
98052,PNVL,PANVEL,CSMT,CST-MUMBAI,2,49
98053,CSMT,CST-MUMBAI,PNVL,PANVEL,2,49
98054,PNVL,PANVEL,CSMT,CST-MUMBAI,2,49
98055,CSMT,CST-MUMBAI,PNVL,PANVEL,2,49
98056,PNVL,PANVEL,CSMT,CST-MUMBAI,2,49
98057,CSMT,CST-MUMBAI,PNVL,PANVEL,2,49
98058,PNVL,PANVEL,CSMT,CST-MUMBAI,2,49
98059,CSMT,CST-MUMBAI,PNVL,PANVEL,2,49
98060,PNVL,PANVEL,CSMT,CST-MUMBAI,2,49
98061,CSMT,CST-MUMBAI,PNVL,PANVEL,2,49
98062,PNVL,PANVEL,CSMT,CST-MUMBAI,2,49
98063,CSMT,CST-MUMBAI,PNVL,PANVEL,2,49
98064,PNVL,PANVEL,CSMT,CST-MUMBAI,2,49
98065,CSMT,CST-MUMBAI,PNVL,PANVEL,2,49
98066,PNVL,PANVEL,CSMT,CST-MUMBAI,2,49
98067,CSMT,CST-MUMBAI,PNVL,PANVEL,2,49
98068,PNVL,PANVEL,CSMT,CST-MUMBAI,2,49
98069,CSMT,CST-MUMBAI,PNVL,PANVEL,2,49
98070,PNVL,PANVEL,CSMT,CST-MUMBAI,2,49
98071,CSMT,CST-MUMBAI,PNVL,PANVEL,2,49
98072,PNVL,PANVEL,CSMT,CST-MUMBAI,2,49
98073,CSMT,CST-MUMBAI,PNVL,PANVEL,2,49
98074,PNVL,PANVEL,CSMT,CST-MUMBAI,2,49
98075,CSMT,CST-MUMBAI,PNVL,PANVEL,2,49
98076,PNVL,PANVEL,CSMT,CST-MUMBAI,2,49
98077,CSMT,CST-MUMBAI,PNVL,PANVEL,2,49
98078,PNVL,PANVEL,CSMT,CST-MUMBAI,2,49
98079,CSMT,CST-MUMBAI,PNVL,PANVEL,2,49
98080,PNVL,PANVEL,CSMT,CST-MUMBAI,2,49
98081,CSMT,CST-MUMBAI,PNVL,PANVEL,2,49
98082,PNVL,PANVEL,CSMT,CST-MUMBAI,2,49
98083,VDLR,MUMBAI VADAL,PNVL,PANVEL,2,39
98084,PNVL,PANVEL,CSMT,CST-MUMBAI,2,49
98085,CSMT,CST-MUMBAI,PNVL,PANVEL,2,49
98087,CSMT,CST-MUMBAI,PNVL,PANVEL,2,49
98088,PNVL,PANVEL,CSMT,CST-MUMBAI,2,49
98089,CSMT,CST-MUMBAI,PNVL,PANVEL,2,49
98090,PNVL,PANVEL,CSMT,CST-MUMBAI,2,49
98091,CSMT,CST-MUMBAI,PNVL,PANVEL,2,49
98092,PNVL,PANVEL,CSMT,CST-MUMBAI,2,49
98093,CSMT,CST-MUMBAI,PNVL,PANVEL,2,49
98094,PNVL,PANVEL,CSMT,CST-MUMBAI,2,49
98095,CSMT,CST-MUMBAI,PNVL,PANVEL,2,49
98096,PNVL,PANVEL,CSMT,CST-MUMBAI,2,49
98097,CSMT,CST-MUMBAI,PNVL,PANVEL,2,49
98098,PNVL,PANVEL,CSMT,CST-MUMBAI,2,49
98099,CSMT,CST-MUMBAI,PNVL,PANVEL,2,49
98100,PNVL,PANVEL,CSMT,CST-MUMBAI,2,49
98101,CSMT,CST-MUMBAI,PNVL,PANVEL,2,49
98102,PNVL,PANVEL,CSMT,CST-MUMBAI,2,49
